日期	股票代码	名称	收盘价	最高价	最低价	开盘价	前收盘	涨跌额	涨跌幅	成交量
2000/1/4	'000651	格力电器	15.08	15.15	14.65	14.8	14.73	0.35	2.3761	354980
2000/1/5	'000651	格力电器	14.89	15.3	14.88	15.08	15.08	-0.19	-1.2599	436610
2000/1/6	'000651	格力电器	16	16.36	14.61	14.61	14.89	1.11	7.4547	1133415
2000/1/7	'000651	格力电器	17.09	17.15	16.21	16.3	16	1.09	6.8125	2876547
2000/1/10	'000651	格力电器	17.08	17.58	16.71	17.3	17.09	-0.01	-0.0585	1997743
2000/1/11	'000651	格力电器	15.99	17.08	15.8	17.08	17.08	-1.09	-6.3817	1075580
2000/1/12	'000651	格力电器	15.65	16.3	15.53	15.9	15.99	-0.34	-2.1263	666011
2000/1/13	'000651	格力电器	15.46	15.89	15.38	15.89	15.65	-0.19	-1.2141	404603
2000/1/14	'000651	格力电器	15.15	15.6	15.1	15.34	15.46	-0.31	-2.0052	324200
2000/1/17	'000651	格力电器	15.53	15.58	14.93	15.13	15.15	0.38	2.5083	289427
2000/1/18	'000651	格力电器	15.55	15.9	15.36	15.51	15.53	0.02	0.1288	259635
2000/1/19	'000651	格力电器	15.81	16.1	15.6	15.6	15.55	0.26	1.672	428222
2000/1/20	'000651	格力电器	16.07	16.2	15.9	15.98	15.81	0.26	1.6445	525265
2000/1/21	'000651	格力电器	15.95	16.4	15.8	16.2	16.07	-0.12	-0.7467	760976
2000/1/24	'000651	格力电器	15.75	15.96	15.41	15.96	15.95	-0.2	-1.2539	795648
2000/1/25	'000651	格力电器	15.86	16.11	15.6	15.85	15.75	0.11	0.6984	635110
2000/1/26	'000651	格力电器	15.74	16	15.7	16	15.86	-0.12	-0.7566	385220
2000/1/27	'000651	格力电器	15.87	16.15	15.52	15.73	15.74	0.13	0.8259	1011348
2000/1/28	'000651	格力电器	16.3	16.6	15.65	15.9	15.87	0.43	2.7095	1552173
2000/2/14	'000651	格力电器	17.82	17.85	16.48	16.87	16.3	1.52	9.3252	2049363
2000/2/15	'000651	格力电器	16.97	18.3	16.81	18.02	17.82	-0.85	-4.7699	2999890
2000/2/16	'000651	格力电器	16.28	16.8	15.98	16.8	16.97	-0.69	-4.066	2543390
2000/2/17	'000651	格力电器	15.95	16.85	15.71	16.3	16.28	-0.33	-2.027	2464163
2000/2/18	'000651	格力电器	15.73	16	15.5	15.85	15.95	-0.22	-1.3793	1228038
2000/2/21	'000651	格力电器	16.42	16.98	15.74	15.75	15.73	0.69	4.3865	2183567
2000/2/22	'000651	格力电器	15.9	16.8	15.85	16.42	16.42	-0.52	-3.1669	1045396
2000/2/23	'000651	格力电器	15.68	15.81	15.6	15.8	15.9	-0.22	-1.3836	908290
2000/2/24	'000651	格力电器	15.76	16	15.62	15.68	15.68	0.08	0.5102	519899
2000/2/25	'000651	格力电器	15.6	15.96	15.48	15.9	15.76	-0.16	-1.0152	1088687
2000/2/28	'000651	格力电器	16.07	16.2	15.15	15.5	15.6	0.47	3.0128	1805300
2000/2/29	'000651	格力电器	16.6	17.18	15.5	16.07	16.07	0.53	3.2981	3134438
2000/3/1	'000651	格力电器	16.14	16.86	16.01	16.8	16.6	-0.46	-2.7711	1821746
2000/3/2	'000651	格力电器	15.95	16.19	15.76	15.89	16.14	-0.19	-1.1772	1064494
