日期	股票代码	名称	收盘价	最高价	最低价	开盘价	前收盘	涨跌额	涨跌幅	成交量
2006/10/27	'601398	N工行	3.28	3.44	3.26	3.4	3.12	0.16	5.1282	2582539562
2006/10/30	'601398	工商银行	3.29	3.32	3.25	3.27	3.28	0.01	0.3049	351921002
2006/10/31	'601398	工商银行	3.3	3.33	3.28	3.28	3.29	0.01	0.304	230126187
2006/11/1	'601398	工商银行	3.3	3.31	3.28	3.3	3.3	0	0	132892401
2006/11/2	'601398	工商银行	3.28	3.3	3.25	3.3	3.3	-0.02	-0.6061	175155427
2006/11/3	'601398	工商银行	3.36	3.37	3.27	3.27	3.28	0.08	2.439	400016130
2006/11/6	'601398	工商银行	3.38	3.38	3.32	3.33	3.36	0.02	0.5952	209993801
2006/11/7	'601398	工商银行	3.4	3.43	3.37	3.38	3.38	0.02	0.5917	296792452
2006/11/8	'601398	工商银行	3.36	3.4	3.35	3.4	3.4	-0.04	-1.1765	151822699
2006/11/9	'601398	工商银行	3.4	3.4	3.35	3.36	3.36	0.04	1.1905	177948204
2006/11/10	'601398	工商银行	3.46	3.52	3.4	3.4	3.4	0.06	1.7647	759690218
2006/11/13	'601398	工商银行	3.52	3.59	3.44	3.45	3.46	0.06	1.7341	463375150
2006/11/14	'601398	工商银行	3.6	3.62	3.53	3.58	3.52	0.08	2.2727	431911750
2006/11/15	'601398	工商银行	3.65	3.65	3.6	3.61	3.6	0.05	1.3889	344605663
2006/11/16	'601398	工商银行	3.8	3.93	3.67	3.7	3.65	0.15	4.1096	687712580
2006/11/17	'601398	工商银行	3.8	3.85	3.74	3.79	3.8	0	0	314841698
2006/11/20	'601398	工商银行	3.92	3.92	3.8	3.8	3.8	0.12	3.1579	318049415
2006/11/21	'601398	工商银行	3.93	3.96	3.86	3.91	3.92	0.01	0.2551	233060114
2006/11/22	'601398	工商银行	3.9	3.95	3.81	3.91	3.93	-0.03	-0.7634	283457074
2006/11/23	'601398	工商银行	3.97	4.01	3.92	3.92	3.9	0.07	1.7949	302943550
2006/11/24	'601398	工商银行	3.92	3.94	3.86	3.92	3.97	-0.05	-1.2594	189227337
2006/11/27	'601398	工商银行	3.81	3.9	3.76	3.89	3.92	-0.11	-2.8061	300467637
2006/11/28	'601398	工商银行	3.75	3.81	3.71	3.78	3.81	-0.06	-1.5748	242436322
2006/11/29	'601398	工商银行	3.79	3.8	3.65	3.67	3.75	0.04	1.0667	244311148
2006/11/30	'601398	工商银行	3.81	3.83	3.77	3.8	3.79	0.02	0.5277	231829092
2006/12/1	'601398	工商银行	3.76	3.83	3.74	3.83	3.81	-0.05	-1.3123	274203442
2006/12/4	'601398	工商银行	3.91	3.97	3.72	3.76	3.76	0.15	3.9894	410693928
2006/12/5	'601398	工商银行	3.88	3.98	3.86	3.91	3.91	-0.03	-0.7673	266225582
2006/12/6	'601398	工商银行	3.84	3.91	3.76	3.88	3.88	-0.04	-1.0309	263484725
2006/12/7	'601398	工商银行	3.85	3.95	3.81	3.84	3.84	0.01	0.2604	336873997
2006/12/8	'601398	工商银行	3.87	3.97	3.81	3.83	3.85	0.02	0.5195	386868807
2006/12/11	'601398	工商银行	4.08	4.09	3.85	3.86	3.87	0.21	5.4264	458576445
2006/12/12	'601398	工商银行	4.31	4.33	4.08	4.1	4.08	0.23	5.6373	543092050
2006/12/13	'601398	工商银行	4.29	4.39	4.21	4.33	4.31	-0.02	-0.464	299058098
2006/12/14	'601398	工商银行	4.27	4.3	4.2	4.29	4.29	-0.02	-0.4662	184842589
